Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.56     0.00        9     0.00     0.00  load_net_slack
  0.00      0.56     0.00        9     0.00     0.00  load_timing_graph_net_delays
  0.00      0.56     0.00        8     0.00     0.00  exit_crit
  0.00      0.56     0.00        8     0.00     0.00  get_std_dev
  0.00      0.56     0.00        8     0.00     0.00  update_screen
  0.00      0.56     0.00        7     0.00     0.00  CountChildren
  0.00      0.56     0.00        7     0.00     0.00  update_rlim
  0.00      0.56     0.00        7     0.00     0.00  update_t
  0.00      0.56     0.00        6     0.00     0.00  CheckGrid
  0.00      0.56     0.00        6     0.00     0.00  ParseFc
  0.00      0.56     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      0.56     0.00        6     0.00     0.00  insert_in_vptr_list
  0.00      0.56     0.00        5     0.00     0.00  alloc_matrix3
  0.00      0.56     0.00        5     0.00     0.00  freeGrid
  0.00      0.56     0.00        5     0.00     0.00  my_realloc
  0.00      0.56     0.00        4     0.00     0.00  free_matrix3
  0.00      0.56     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      0.56     0.00        3     0.00     0.00  ProcessOption
  0.00      0.56     0.00        3     0.00     0.00  Process_Fc
  0.00      0.56     0.00        3     0.00     0.00  ReadBaseToken
  0.00      0.56     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      0.56     0.00        3     0.00     0.00  alloc_and_load_track_to_pin_lookup
  0.00      0.56     0.00        3     0.00     0.00  free_matrix4
  0.00      0.56     0.00        3     0.00     2.52  generic_compute_matrix
  0.00      0.56     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      0.56     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      0.56     0.00        2     0.00     0.00  ProcessSubblocks
  0.00      0.56     0.00        2     0.00     0.00  ProcessTypeProps
  0.00      0.56     0.00        2     0.00     0.00  SetupClassInf
  0.00      0.56     0.00        2     0.00     0.00  SetupGridLocations
  0.00      0.56     0.00        2     0.00     0.00  SetupPinClasses
  0.00      0.56     0.00        2     0.00     0.00  SetupPinLocations
  0.00      0.56     0.00        2     0.00     0.00  SetupSubblocksTSeq
  0.00      0.56     0.00        2     0.00     0.00  SetupSubblocksTcomb
  0.00      0.56     0.00        2     0.00     0.00  SetupTypeTiming
  0.00      0.56     0.00        2     0.00     0.00  alloc_and_load_actual_fc
  0.00      0.56     0.00        2     0.00     0.00  alloc_hash_table
  0.00      0.56     0.00        2     0.00     0.00  alloc_matrix4
  0.00      0.56     0.00        2     0.00     0.00  check_all_tracks_reach_pins
  0.00      0.56     0.00        2     0.00     0.00  free_hash_table
  0.00      0.56     0.00        2     0.00     0.00  free_ivec_vector
  0.00      0.56     0.00        2     0.00     5.00  free_rr_graph
  0.00      0.56     0.00        2     0.00     0.00  init_chan
  0.00      0.56     0.00        2     0.00     0.19  load_chan_rr_indices
  0.00      0.56     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      0.56     0.00        2     0.00     0.00  load_uniform_switch_pattern
  0.00      0.56     0.00        1     0.00     0.00  CheckArch
  0.00      0.56     0.00        1     0.00     0.00  CheckOptions
  0.00      0.56     0.00        1     0.00     0.00  CheckSegments
  0.00      0.56     0.00        1     0.00     0.00  CheckSetup
  0.00      0.56     0.00        1     0.00     0.00  CheckSwitches
  0.00      0.56     0.00        1     0.00     0.00  InitArch
  0.00      0.56     0.00        1     0.00     0.00  IsTimingEnabled
  0.00      0.56     0.00        1     0.00     0.00  PrintTitle
  0.00      0.56     0.00        1     0.00     0.00  ProcessChanWidthDistr
  0.00      0.56     0.00        1     0.00     0.00  ProcessDevice
  0.00      0.56     0.00        1     0.00     0.00  ProcessIO
  0.00      0.56     0.00        1     0.00     0.00  ProcessLayout
  0.00      0.56     0.00        1     0.00     0.00  ProcessSegments
  0.00      0.56     0.00        1     0.00     0.00  ProcessSwitches
  0.00      0.56     0.00        1     0.00     0.00  ProcessTypes
  0.00      0.56     0.00        1     0.00     0.00  ReadInt
  0.00      0.56     0.00        1     0.00     0.00  ReadOptions
  0.00      0.56     0.00        1     0.00     0.00  SetupAnnealSched
  0.00      0.56     0.00        1     0.00     0.00  SetupEmptyType
  0.00      0.56     0.00        1     0.00     0.00  SetupOperation
  0.00      0.56     0.00        1     0.00     0.00  SetupPlacerOpts
  0.00      0.56     0.00        1     0.00     0.00  SetupRouterOpts
  0.00      0.56     0.00        1     0.00     0.00  SetupRoutingArch
  0.00      0.56     0.00        1     0.00     0.00  SetupSwitches
  0.00      0.56     0.00        1     0.00     0.00  SetupTiming
  0.00      0.56     0.00        1     0.00    10.00  SetupVPR
  0.00      0.56     0.00        1     0.00     0.00  ShowAnnealSched
  0.00      0.56     0.00        1     0.00     0.00  ShowOperation
  0.00      0.56     0.00        1     0.00     0.00  ShowPlacerOpts
  0.00      0.56     0.00        1     0.00     0.00  ShowRoutingArch
  0.00      0.56     0.00        1     0.00     0.00  ShowSetup
  0.00      0.56     0.00        1     0.00     0.00  XmlReadArch
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_assign_internal_structures
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_clb_opins_used_locally
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_fanout_counts
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_for_fast_cost_update
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_perturb_ipins
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_pin_mappings
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_placement_structs
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_rr_clb_source
  0.00      0.56     0.00        1     0.00   345.91  alloc_and_load_rr_graph
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      0.56     0.00        1     0.00     0.38  alloc_and_load_rr_node_indices
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_tnode_fanin_and_check_edges
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_tnodes_and_net_mapping
  0.00      0.56     0.00        1     0.00     0.00  alloc_and_load_unique_pin_list
  0.00      0.56     0.00        1     0.00     0.00  alloc_block
  0.00      0.56     0.00        1     0.00     0.00  alloc_crit
  0.00      0.56     0.00        1     0.00     0.00  alloc_delta_arrays
  0.00      0.56     0.00        1     0.00   410.00  alloc_lookups_and_criticalities
  0.00      0.56     0.00        1     0.00     0.00  alloc_net
  0.00      0.56     0.00        1     0.00     0.00  alloc_net_delay
  0.00      0.56     0.00        1     0.00     0.00  alloc_net_rr_terminals
  0.00      0.56     0.00        1     0.00     0.00  alloc_net_slack
  0.00      0.56     0.00        1     0.00     0.00  alloc_route_structs
  0.00      0.56     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      0.56     0.00        1     0.00   375.00  alloc_routing_structs
  0.00      0.56     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      0.56     0.00        1     0.00   370.00  build_rr_graph
  0.00      0.56     0.00        1     0.00     0.00  check_for_duplicate_block_names
  0.00      0.56     0.00        1     0.00     0.00  check_for_multiple_sink_connections
  0.00      0.56     0.00        1     0.00     0.00  check_netlist
  0.00      0.56     0.00        1     0.00     0.00  check_rr_graph
  0.00      0.56     0.00        1     0.00     0.00  check_timing_graph
  0.00      0.56     0.00        1     0.00     0.00  comp_bb_cost
  0.00      0.56     0.00        1     0.00   410.00  compute_delay_lookup_tables
  0.00      0.56     0.00        1     0.00    30.00  compute_delta_arrays
  0.00      0.56     0.00        1     0.00     6.29  compute_delta_fb_to_fb
  0.00      0.56     0.00        1     0.00     7.48  compute_delta_fb_to_io
  0.00      0.56     0.00        1     0.00     7.55  compute_delta_io_to_fb
