Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.56     0.00      437     0.00     0.00  alloc_matrix
  0.00      0.56     0.00      431     0.00     0.00  ezxml_char_content
  0.00      0.56     0.00      429     0.00     0.00  free_matrix
  0.00      0.56     0.00      428     0.00     0.00  get_bb_from_scratch
  0.00      0.56     0.00      414     0.00     0.00  get_type_by_name
  0.00      0.56     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      0.56     0.00      226     0.00     0.00  CountTokensInString
  0.00      0.56     0.00      223     0.00     0.00  ezxml_set_flag
  0.00      0.56     0.00      222     0.00     0.00  FreeNode
  0.00      0.56     0.00      222     0.00     0.00  ezxml_close_tag
  0.00      0.56     0.00      222     0.00     0.00  ezxml_cut
  0.00      0.56     0.00      222     0.00     0.00  ezxml_free
  0.00      0.56     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      0.56     0.00      222     0.00     0.00  ezxml_open_tag
  0.00      0.56     0.00      221     0.00     0.00  CheckElement
  0.00      0.56     0.00      221     0.00     0.00  ezxml_add_child
  0.00      0.56     0.00      221     0.00     0.00  ezxml_insert
  0.00      0.56     0.00      220     0.00     0.00  rr_node_is_global_clb_ipin
  0.00      0.56     0.00      183     0.00     0.00  FindProperty
  0.00      0.56     0.00      183     0.00     0.00  ezxml_attr
  0.00      0.56     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      0.56     0.00      173     0.00     0.00  GetNodeTokens
  0.00      0.56     0.00      171     0.00     0.00  my_calloc
  0.00      0.56     0.00      144     0.00     0.00  build_rr_sinks_sources
  0.00      0.56     0.00      144     0.00     0.07  build_unidir_rr_opins
  0.00      0.56     0.00      139     0.00     0.00  get_next_hash
  0.00      0.56     0.00      138     0.00     0.00  build_fb_tnodes
  0.00      0.56     0.00      138     0.00     0.00  build_subblock_tnodes
  0.00      0.56     0.00      138     0.00     0.00  check_fb_conn
  0.00      0.56     0.00      138     0.00     0.00  check_fb_to_subblock_connections
  0.00      0.56     0.00      138     0.00     0.00  check_internal_subblock_connections
  0.00      0.56     0.00      138     0.00     0.00  check_subblocks
  0.00      0.56     0.00      138     0.00     0.00  get_num_conn
  0.00      0.56     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      0.56     0.00      121     0.00     0.03  load_sblock_pattern_lookup
  0.00      0.56     0.00      110     0.00     1.53  build_rr_xchan
  0.00      0.56     0.00      110     0.00     1.53  build_rr_ychan
  0.00      0.56     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      0.56     0.00       56     0.00     0.00  find_type_col
  0.00      0.56     0.00       43     0.00     0.00  ezxml_child
  0.00      0.56     0.00       41     0.00     0.00  FindElement
  0.00      0.56     0.00       36     0.00     0.00  comp_width
  0.00      0.56     0.00       33     0.00     0.00  is_global_clock
  0.00      0.56     0.00        9     0.00     0.03  comp_td_costs
  0.00      0.56     0.00        9     0.00     0.00  compute_net_slacks
  0.00      0.56     0.00        9     0.00     0.00  load_criticalities
