Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 67.27      0.74     0.74   869998     0.00     0.00  try_swap
 17.27      0.93     0.19 25424969     0.00     0.00  comp_td_point_to_point_delay
  5.45      0.99     0.06    68548     0.00     0.00  label_wire_muxes
  4.55      1.04     0.05  3008047     0.00     0.00  update_bb
  2.73      1.07     0.03    15972     0.00     0.00  get_track_to_ipins
  0.91      1.08     0.01   315200     0.00     0.00  get_bb_from_scratch
  0.91      1.09     0.01    55176     0.00     0.00  get_track_to_tracks
  0.91      1.10     0.01        1     0.01     1.10  try_place
  0.00      1.10     0.00  3022684     0.00     0.00  my_irand
  0.00      1.10     0.00   638248     0.00     0.00  my_frand
  0.00      1.10     0.00   377666     0.00     0.00  my_malloc
  0.00      1.10     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      1.10     0.00   222559     0.00     0.00  node_to_heap
  0.00      1.10     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      1.10     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      1.10     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      1.10     0.00    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.00      1.10     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      1.10     0.00    29040     0.00     0.00  get_seg_end
  0.00      1.10     0.00    29040     0.00     0.00  get_seg_start
  0.00      1.10     0.00    29040     0.00     0.00  is_cbox
  0.00      1.10     0.00    26562     0.00     0.00  get_rr_node_index
  0.00      1.10     0.00    22465     0.00     0.00  free_heap_data
  0.00      1.10     0.00    22465     0.00     0.00  get_heap_head
  0.00      1.10     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      1.10     0.00    20292     0.00     0.00  check_node
  0.00      1.10     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      1.10     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      1.10     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      1.10     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      1.10     0.00     4966     0.00     0.00  is_opin
  0.00      1.10     0.00     3774     0.00     0.00  my_atoi
  0.00      1.10     0.00     3302     0.00     0.00  FreeTokens
  0.00      1.10     0.00     3287     0.00     0.00  CountTokens
  0.00      1.10     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      1.10     0.00     1359     0.00     0.00  my_strdup
  0.00      1.10     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      1.10     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      1.10     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      1.10     0.00      551     0.00     0.00  ezxml_decode
  0.00      1.10     0.00      511     0.00     0.00  get_mst_of_net
  0.00      1.10     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      1.10     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      1.10     0.00      477     0.00     0.00  empty_heap
  0.00      1.10     0.00      477     0.00     0.00  free_route_tree
  0.00      1.10     0.00      477     0.00     0.00  free_traceback
  0.00      1.10     0.00      477     0.00     0.00  heapsort
  0.00      1.10     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      1.10     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      1.10     0.00      477     0.00     0.00  mark_ends
  0.00      1.10     0.00      477     0.00     0.00  reset_path_costs
  0.00      1.10     0.00      477     0.00     0.00  timing_driven_route_net
  0.00      1.10     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      1.10     0.00      477     0.00     0.00  update_route_tree
  0.00      1.10     0.00      477     0.00     0.00  update_traceback
  0.00      1.10     0.00      437     0.00     0.00  alloc_matrix
  0.00      1.10     0.00      431     0.00     0.00  ezxml_char_content
  0.00      1.10     0.00      430     0.00     0.00  free_matrix
  0.00      1.10     0.00      361     0.00     0.00  postscript
  0.00      1.10     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      1.10     0.00      222     0.00     0.00  FreeNode
  0.00      1.10     0.00      222     0.00     0.00  ezxml_cut
  0.00      1.10     0.00      222     0.00     0.00  ezxml_free
  0.00      1.10     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      1.10     0.00      221     0.00     0.00  ezxml_insert
  0.00      1.10     0.00      183     0.00     0.00  ezxml_attr
